country,PMD,HAD,OZD,USD,UWD,PBD,MSW,TBN,TBG,MPA,PAR,SHI,SPI,BHV,TCL,GRL,WTL,CDA,CHA,FGA,NDA,BCA,LCB,GIB,GHP,SDA,NXA,SNM,WWT
Ireland,91,100,79.5,93.5,100,82.7,81.7,82.9,82.9,21.3,43.7,96.9,98.4,45,22.5,71.2,72.6,65.1,43.8,92.9,66.2,100,91.5,80.4,13.3,100,100,47.3,89.7
Iran,26.5,82.8,29.4,60.9,48.7,27.4,19,40.9,35.2,1.2,8.5,95.8,62.6,62.8,93.2,52.1,45.4,42.3,51.5,100,67.3,72.8,87.2,86.1,21.8,99.6,62,33.8,3.7
Iraq,7.3,75.7,40,55.5,45.8,29.6,0,8.6,49.8,40.5,2.7,98.1,37.2,69.5,96.3,49.4,54.9,8,56,100,62,34.5,53.5,33,37,7.2,21.1,37.4,19.5
Iceland,100,100,62.1,100,100,96.1,84.8,75.8,75.8,3.6,47.8,100,92.8,81.3,72.2,100,100,44.9,100,92.3,67.6,100,25.1,34.4,8.4,11.6,77.3,18.5,15.6
Israel,62.6,100,41.3,91.5,93.6,92.1,72.2,76.9,51.1,0.3,12.2,76.8,79.6,51,37,45.3,100,57.5,39.3,91.3,58.6,47.7,45,62.8,26.7,95.7,100,34.9,81.7
Italy,68.5,90.4,41.2,99.2,97.6,81.5,83.7,100,100,45.9,41.1,89.1,94.9,39.4,35.8,71.7,41.9,60,91.2,91.4,75.7,78.8,41.2,53.3,36.6,87.8,75,56.8,58.8
Jamaica,43.7,42.7,49.5,52.4,47.2,48.9,31.7,84.7,96.6,1.5,39.3,53.5,80.7,42.8,34.4,49.2,35.9,60.1,70.1,89.7,79.7,83.3,56.9,42.8,59.3,76.2,80.9,22.4,3
Jordan,29.1,100,40.4,75.2,54.2,46.7,43.1,13.4,10.6,40.5,10.9,92.1,38.7,68,79.6,46,100,59.1,40.1,89.3,37.6,67.7,45.8,55.4,68.7,37.9,100,25,18.6
Japan,78,100,60.2,100,91.6,100,86.5,100,100,71.5,28.3,68.6,69.1,56.9,42.9,19.6,41,57.6,100,87.6,100,100,65.1,36.2,23,56.4,99,55.9,75.3
Kazakhstan,26.6,40.7,22,54,55.8,52.8,2.2,18.7,24.2,43.8,4.4,97.2,80.3,64.8,69.5,49.9,67.7,47,0,91.8,54.6,37.6,100,47.7,2.1,100,50.4,45.6,28.6
Kenya,49.9,13.9,39.2,13.7,13.6,50.6,5.5,69.9,67.5,4,26.2,85.3,84.1,56.5,27.8,53.2,68.9,33.8,63.7,90.2,60.7,30.9,66.5,70.1,84.3,42.1,31.5,35.9,0.5
Kyrgyzstan,27.9,26.8,19.1,42.9,47.2,40.8,0,20.7,22.3,40.5,20.6,93.4,55.1,58.7,93.6,47.1,100,34.1,46.2,89.6,33.8,0,100,39.2,68.1,36.1,0,52.4,0.2
Cambodia,43.2,11.2,37.4,35.8,33.2,35,0,100,100,0,31,26.4,94.2,49.1,13.8,51,80.8,11.7,77.3,90.6,72.9,0,12.6,79.2,73.8,41.4,49.4,59,0
Kiribati,46.1,6.5,24.2,17.5,15.4,37,0,100,100,100,0,86.7,74.5,57,50.6,100,68,21.3,53.2,86.9,46.6,59,100,16.3,95.4,80.1,19.8,26.5,0
South Korea,53.8,100,41.7,100,84.4,89.4,96.7,88.2,88.2,17.2,16,78.6,90.1,54.2,32.8,11.3,42.1,45.5,100,100,81.5,100,36.5,44.8,15.9,100,100,51.7,76.8
Kuwait,24.2,98.7,44.1,82.9,57,56.8,0,98.4,98.4,1.2,9.2,91.6,92.9,70.2,41.2,100,48.4,48.1,60.8,91.5,33.8,7.3,39.9,33.2,0,91.1,72.2,44.9,43.1
Laos,41.3,9.4,26,27.3,26,34.7,18.7,93.6,96.8,71.5,29.6,6.4,83.3,57.6,13.6,43,44.6,17.7,43.4,89.8,36.4,68.8,16.4,76.1,77.3,40.3,2.4,69.2,0
Lebanon,25,80.3,38.7,79.4,46.6,43.6,61.4,15.1,15.1,0,13.5,84.6,25.7,34.2,33.1,100,100,63.4,36,89.6,34,58,61.2,63.7,63.9,63.1,71.1,34.1,38.2
Liberia,43.7,11.4,45.7,10.5,9.4,37.3,0,21.3,55.7,1,17.2,42,53.7,57.2,11.2,36.9,53.4,6.9,29.7,89.3,35,38.6,3.4,28.5,100,48.9,16.6,26.2,0
Saint Lucia,36.1,53.7,100,50.3,42.1,51.8,77.5,59.6,29.5,1.8,66.6,42.6,25.7,46.8,47.9,85.8,100,50.7,68.3,95.3,22.1,30.2,70,26.5,60.5,36.9,36.5,6.4,0.9
Sri Lanka,44.8,27.3,44,51.1,46.6,72.4,4.4,90.7,98.2,0.7,41.6,72.8,70.9,46.1,34.1,40.7,100,1.6,100,88.6,97.6,59.5,23.7,31.9,80.2,64.5,41.8,33.2,0
Lesotho,18.8,10,18.9,7.4,7.1,25,0,1.4,1.4,20.7,10.6,94.3,26.2,43.5,44,54,100,42.6,78.1,87.2,89.1,47,26.7,54.4,70.5,43.3,44.7,27.4,0.3
Lithuania,60.5,64.7,70.5,59.9,57.2,83.9,87.8,99.4,99.4,100,33.7,90.7,100,53.2,21.4,64.4,41.9,55.2,100,80.4,93.6,72.1,51.9,45.2,24.9,97.3,95.9,64.1,51.4
Luxembourg,81.4,100,48.2,100,97.7,96.1,96.2,100,100,78.1,64.6,97.5,100,48.5,30.7,100,72.9,78.7,81.7,91.7,67.5,100,16.8,75.7,7.3,100,100,42.2,98.5
Latvia,53.2,55.2,69.8,61.1,57.5,78.4,61.4,100,100,100,31.9,75.9,100,59.4,18.2,43.2,58.2,65.8,70.9,90.2,48.7,96.7,62.5,41.7,35.3,100,89.7,62.8,90.7
Morocco,14,44.6,30,47.2,36.6,28.9,39.6,100,100,0.5,45.8,80.7,95.7,51.1,35.8,70.3,100,47,56,89.4,50.1,37.6,36.7,50.2,69.9,97,64,38.9,5.4
Moldova,41.7,46.8,53.4,48.9,50.6,54.7,13.8,20.9,22.1,26.1,14.5,80.6,2.5,40.2,39.8,100,100,43,82.3,86.9,0,54.3,36.9,43.4,67.4,52.2,100,50.8,9
Madagascar,56.4,7.4,41.5,5.7,6,33,0.6,32.3,29.1,7,17.4,0,48.6,46.7,9.2,70.2,55.5,12.6,86.1,89.7,67.1,49.9,26.1,47.8,89.4,41.6,39.4,50.5,0
